"Variable","type","Minimum Target","filter","name","Achieved","Percent to Goal"
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Kejimkujik Seaside National Park and Historic Site",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Boot Island National Wildlife Area",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","John Lusby Marsh National Wildlife Area",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Long Eddy",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Bras d’Or Lake",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Salmon Rivers",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Western/Emerald Banks Marine Refuge",0.69,3.4
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Northeast Channel Coral Marine Refuge",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Emerald Basin Sponge Marine Refuge",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Sambro Bank Sponge Marine Refuge",0.1,0.5
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Corsair and Georges Canyons Marine Refuge",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Eastern Canyons Marine Refuge",0.66,3.3
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Southwest Bank",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Western Jordan Basin",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Georges Bank",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","LaHave Basin",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Scotian Gulf",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Central Scotian Slope, Rise and Abyss",0.38,1.9
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Inner Shelf Sea Pen Field",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Sable Island Bank",0.13,0.7
